job_title,extracted_raw_text,entities
ACCOUNTING HEAD.JPG,"DEPART,
EOP Y>.
\ i >
OS) y
A us
WeLy Yo) fe) z ys
= em, 4 /
== £
W Zi ’ es F la : fy | it CS ‘ ) ~
S QUALLIFICATIONS AND REQUIREMENTS
* Bachelor's degree in Accounting, Finance, or a related field .
* Minimum of 5 years of experience in accounting, with at least 1 year in a leadership role.
* Strong knowledge of financial regulations, taxation, and compliance.
* Proficiency in accounting software (e.g., QuickBooks, SAP) and MS Excel.
* Excellent analytical, problem-solving, and decision-making skills.
¢ Strong leadership, communication, and organizational abilities.
(VY) RESPONSIBILITIES
¥ Oversee and manage all accounting functions, including ,
financial reporting, budgeting, and forecasting. =
¥ Prepare and analyze financial statements to guide business My —_—
CCT (el ato ——e
¥ Implement internal controls to safeguard company assets
and financial data.
—
¥ Supervise and mentor accounting staff, fostering a high- if
performing team. if
¥ Manage cash flow, accounts payable and accounts y
receivable. . eg
¥ Collaborate with auditors, tax consultants, and other financial ~ i.
Parr Tata =)
¥ Develop and implement strategies for cost control and -
Yeiieel sisal le) Col ati y cs, ‘
MUS Creeley iff tala : —— a
their resume and cover letter to = <a ion
>sscareers¢é se ae
nS ~ Sa
with the subject line “Application You may also submit your resume A) =
for Accounting Head - [Your or to VROSS MEAT SHOPPE OCHOA “~e EB
Name]"". yeeliel B J","{'Ġor', 's', 'ĠSH', 'OA', 'ĠCS', 'Ġto', 'ĠSa', '>.', '=', 'Ġ~', 'Ġem', 'Ly', 'e', 'E', 'Ġy', 'OS', 'Ġ<', 'ĠA', 'Ġ)', 'ľ', 'A', 'Ļ', '==', '>', 'We', 'Your', 'Ġa', 'Ġfe', 'Ġ:', 'ĠZi', 'Ġse', 'Ġ[', 'Ġ-', 'ĠÂ£', 'Ġf', 'ĠF', ']', 'a', 'Name', 'Ġ/', 'Ġit', ')', 'Ċ', 'Ġus', 'âĢĶ', '~', 'ĠVR', 'S', 'OSS', 'Ġ4', 'ĠâĢ', 'y', 'AT', 'ĠDE', 'PART', 'ĠEB', 'Ġion', 'Ġ=', 'with', 'ĺ', 'Ġla', 'PE', 'ĠME', 'OP', 'n', 'Ġ|', 'Ġz', 'ĠY', 'ĠYo', '"".', ',', 'ĠO', 'Ġes', 'Ġ>', 'Ã©', '\\', 'Ġi', 'W', 'Ġthe'}"
ACCOUNTING SUPERVISOR.JPG,"uD AOI-PHIL. INC ee
WE'RE EE oo
= e@ e e ee
‘Finance/Accounting Supervisor
Nn
// Qualifications:
( ¢ Graduate of BS Accountancy, Management Accounting,
Accounting Technology or any related field
e With at least three (3) year experience as Accounting
Staff or related position is an advantage
¢ Good communication skills (oral and written) and with
the desire to work with internal/external customers
e Strong attention to detail and coordination
e Strong Microsoft Office Skills
e Ability to deal in a dynamic work environment
e CPAis definitely an advantage
9 © Send your resume and
TZ application letter to:
1 aoiphil.recruitment@gmail.com
oe = "">
q","{'ĠINC', '>', 'oe', 'âĢ', 'o', 'RE', 'IL', 'Ċ', 'n', 'ĠÂ©', 'Ġa', 'q', 'WE', 'ĠEE', '=', '9', 'Ġo', 'O', 'e', 'N', '@', 'I', '(', 'ĠÂ', ':', 'Ġ""', 'ĠA', 'PH', 'Ġe', '.', 'Ġ=', 'Ġu', 'ĺ', '1', ""'"", 'D', '//', '-'}"
ACCOUNTS SPECIALIST.docx,"Accounts Specialist
Office Location : 146 T. Calo Extension, Brgy. Limaha, Butuan City
- Resume with 2x2 photo
- Application Letter
- Male
- With Motorcycle and Drivers License
","{'-', 'Ġ:'}"
ADMIN ASSISTANT.docx,"Admin Assistant
QUALIFICATIONS:
Graduate of any four (4) year or any Management, Business related course
With at least one (1) year related work experience.
Proficient in MS Office.
Excellent written and verbal communication skills
Amenable to work in Pasay City.
",set()
ADMIN ASSOCIATE.docx,"Sales and Marketing Admin Associate

As a Sales and Marketing Admin Assistant, you will be responsible for offering remote administrative support to the client. You will also be responsible for performing administrative tasks as and when required.


Some of the things we expect you to do are to:


Manage our client’s social media presence, creating engaging content, scheduling posts, and fostering active online communities that promote our real estate listings.
Monitor and respond to inquiries and comments on social media platforms, providing timely and helpful information to potential clients.
Prepare and maintain accurate sales contracts, proposals, and other essential sales documentation.
Maintain up-to-date and organized client records within our client’s CRM system.
Assist in creating compelling property listings, including writing detailed descriptions, gathering high-quality photographs, and ensuring accuracy.
Coordinate property showings, open houses, and other events to showcase listings effectively.
Collaborate with the marketing team to develop and execute marketing campaigns, including email newsletters, print advertising, and online promotions.
Track the success of marketing initiatives through analytics, providing insights to support future campaigns.
Coordinate the sales process from contract to settlement, ensuring a smooth and efficient experience for buyers and sellers.
Liaise with agents, brokers, and legal teams to prepare closing documents and finalize transactions.
Prepare and submit all necessary settlement documentation, ensuring compliance with relevant regulations and company guidelines.
Generate regular sales and marketing reports, analyzing key metrics to track performance and identify areas for improvement.


We would need you to be or have the following:


Experienced with Box+Dice, AgentBox, and RealHub
1-2 years experience in social media management and an administrative role.
Proficiency in database management, CRM systems, and Google Workspace.
Familiar with Google Suite
Background in Real Estate preferred, with a strong understanding of the VIC, AU Real Estate
Excellent organisational, communication, and problem-solving abilities.
High level of initiative, technological affinity, and ability to adapt to various tasks.
Skilled in project management.





","{'ordinate', 'Ġlistings', 'Ġsubmit', 'Ġtransactions', 'Ġensuring', 'Ġdescriptions', 'Ġshowcase', 'Ġsupport', 'Ġinsights', 'Ġtasks', 'Ġin', 'ize', 'Ġkey', 'Ġdevelop', 'Ġperforming', 'aintain', 'Ġpresence', 'Ġcontracts', 'Ġdocuments', 'Ġprocess', 'Ġsellers', 'Ġincluding', 'Ġcreating', 'Ġexecute', 'Ġprepare', 'Ġanalyzing', 'Ġnecessary', ',', 'Ġcampaigns', 'Ġidentify', 'Ġscheduling', 'Ġrecords', 'Ġefficient', 'Ġthrough', 'Ġdocumentation', 'Ġgathering', 'Ġcompany', 'Ġclients', 'Ġrelevant', 'Ġcompliance', 'Ġsettlement', 'Ġcompelling', 'Ġhigh', 'Ġperformance', 'Ġaccuracy', 'Ġall', 'Ġmaintain', 'Ġmetrics', 'Ġtrack', 'Ġclosing', 'Ġwithin', 'Ġessential'}"
ADMIN CLERK.docx,"Admin clerk
– With/o educational attainment is okay 
– With pleasing personaliy
– With good attitude
– Any kind of gender is okay
– Have positive mindset
","{'Ġclerk', 'Ġattitude', 'Ġgender', 'Ġpositive', 'o', 'Ċ', 'ĠWith', 'Ġattainment', 'Ġeducational', '/', 'Ġ', 'Ġpleasing', 'ĠHave', 'Ġgood', 'iy', 'Ġkind', 'Ġis', 'ĠAdmin', 'Ġof', 'Ġokay', 'ĠAny', 'âĢĵ', 'Ġpersonal', 'Ġmindset'}"
AMAZON LISTING SPECIALIST.docx,"Amazon Listing Specialist

Core qualifications:
3-5 years of experience with Amazon Seller Central. 
Expertise in tools such as Helium 10, Jungle Scout, or similar. 
Flat-file expertise for bulk listing uploads and updates. 
Strong ability to analyze metrics and optimize listings based on data. 
Proficiency in creating engaging and accurate product titles, descriptions, and bullet points. 
Proven experience with basic image editing, including resizing, cropping, and touch-ups, using tools like Canva or similar. 
Excellent written and verbal English communication skills.


Advantageous

Visual design experience, including proficiency in tools like Adobe Photoshop, Illustrator, or Canva. 
Experience with other eCommerce platforms like eBay, Walmart, Shopify 
Experience in handling chemicals/hazardous products 
Experience with non-English marketplaces. 
",set()
AREA SUPERVISOR.docx,"AREA SUPERVISOR
AREA OF DEPLOYMENT: JENTEC BUTUAN CITY
JOB QUALIFICATIONS:
• MUST BE 4 YEAR COURSE GRADUATE
• HARD WORKING
• WILLING TO RENDER OVERTIME
• CAN HANDLE AT LEAST 50 PERSONNEL OR ABOVE. 
","{'ATIONS', 'ĠARE', ':', 'J', 'âĢ¢', 'Ċ', 'OB', 'ĠQU', 'Ġ'}"
AREA SUPERVISOR.jpg,"> = —
BE PART OF
=
OUR [EAM
om J — Sav are m = A
Ye x & ,
WIRING | SMS) =
HIF eH | I \ . ae
a hee> wa»
SE
QUALIFICATIONS:
= 0) 5 TERES TED
/ Must be a 4 year graduate FOR INTERESTED
eas Veer Vik
v Hardworking SUBMIT YOUR CV:
/ Willing to render overtime riosatur.hrsmsicdo@gmail.com
g YOU MAY CONTACT:
/ Can Handle 50 personnel above 0930-599-5639
GENERAL REQUIREMENTS;
/¥ Government Benefits Number
AREA OF DEPLOYMENT: / NBI & Barangay Clearance
Vv 2x2 Picture 2 Pcs
Vv Updated Resume
BUTUAN CITY v 2 Long Folder
¥ Ball Pen
a Gen z,tason in carer Kveaen EP ismsicdo2o02 G5, (088) 857-2265","{'>', 'Ġ\\', 'SE', ')', 'Â»', 'Ċ', 'Ġ0', 'Ġ|', 'ĠPART', 'Ġwa', 'Ġa', '/', 'Ġ.', 'AM', 'Ġ5', 'Â', 'Ye', '=', 'Ġm', 'Ġ(', 'e', 'ĠâĢĶ', 'E', 'Ġ[', ',', 'ĠJ', 'Ġ&', ';', ':', 'H', 'om', 'ĠI', 'OUR', 'ĠA', 'Ġe', 'IR', 'a', 'BE', 'Ġ=', 'Ġ>', 'ĠOF', 'Ġ,', 'Ġare', 'ĠSMS', 'ĠSav', 'W', 'IF', 'ING', 'Ġx', 'Ġhe'}"
AU LEGAL ADMIN ASSISTANT.docx,"AU Legal Admin Assistant - Work-from-home
Minimum Experience:
You must have 2 years minimum work experience in a legal firm
Other Qualifications:
Prior experience in an Australian firm is a plus but not required
Proficient in Microsoft Office
Excellent verbal and written communication skills
Great multitasking and time management skills
Outstanding research skills
Detail-oriented and highly organised
Performs well under pressure
System Requirements:
Stable internet connection (at least 80 MBPS)",set()
AUTOMATION TEST ENGINEER.docx,"Automation Test Engineer
• Degree in Computer Science, Business, Economics or equivalent work experience
• At least 3 years of automation testing experience.
• Experience in both manual and automated testing including planning, test case design, test reporting, defect tracking, estimating and test coverage.
• Experience working with external parties & vendors
• Demonstrated capability to learn and understand a business and its processes and systems in depth
• Experience with automated testing tool Playwright as well as other tools (e.g. Selenium, Java, Maven, & Postman)
• Demonstrated skills with REST and SOAP webservices, & API testing
• Familiarity with Azure DevOps Pipelines and parallel test execution
• Experience testing web, mobile and windows applications
• Ability to work across multiple products / platforms / squads
• Agile methodologies
• Regular use of a defect and test management system such as JIRA, Confluence & SharePoint
",set()
BAKER.JPG,"URGENT HIRING!
e Highschool graduate or related course
isaplus but not required.
e Willing to be trained and know the
basics of foodhandling.
e Can work independently.
e Can do multi-tasking and willing to be
trained.
Email us: newleaf.agchr@gmail.com
For walk-in applicants you can submit your
resume at 2nd Floor Dupoint Building
Cruztaal Velez St. CDOC (Between Honda
& Technomart).",{'.'}
