filename,extracted_raw_text,preprocessed_text,entities,best_match_score,best_match_job_index
ACCOUNTING HEAD.JPG,"DEPART,
EOP Y>.
\ i >
OS) y
A us
WeLy Yo) fe) z ys
= em, 4 /
== £
W Zi ’ es F la : fy | it CS ‘ ) ~
S QUALLIFICATIONS AND REQUIREMENTS
* Bachelor's degree in Accounting, Finance, or a related field .
* Minimum of 5 years of experience in accounting, with at least 1 year in a leadership role.
* Strong knowledge of financial regulations, taxation, and compliance.
* Proficiency in accounting software (e.g., QuickBooks, SAP) and MS Excel.
* Excellent analytical, problem-solving, and decision-making skills.
¢ Strong leadership, communication, and organizational abilities.
(VY) RESPONSIBILITIES
¥ Oversee and manage all accounting functions, including ,
financial reporting, budgeting, and forecasting. =
¥ Prepare and analyze financial statements to guide business My —_—
CCT (el ato ——e
¥ Implement internal controls to safeguard company assets
and financial data.
—
¥ Supervise and mentor accounting staff, fostering a high- if
performing team. if
¥ Manage cash flow, accounts payable and accounts y
receivable. . eg
¥ Collaborate with auditors, tax consultants, and other financial ~ i.
Parr Tata =)
¥ Develop and implement strategies for cost control and -
Yeiieel sisal le) Col ati y cs, ‘
MUS Creeley iff tala : —— a
their resume and cover letter to = <a ion
>sscareers¢é se ae
nS ~ Sa
with the subject line “Application You may also submit your resume A) =
for Accounting Head - [Your or to VROSS MEAT SHOPPE OCHOA “~e EB
Name]"". yeeliel B J",depart eop o u wely yo fe z y em four w zi e f la fy c quallifications requirement bachelor degree accounting finance related field minimum five year experience accounting least one year leadership role strong knowledge financial regulation taxation compliance proficiency accounting software eg quickbooks sap m excel excellent analytical problemsolving decisionmaking skill strong leadership communication organizational ability vy responsibility oversee manage accounting function including financial reporting budgeting forecasting prepare analyze financial statement guide business cct el ato e implement internal control safeguard company asset financial data supervise mentor accounting staff fostering high performing team manage cash flow account payable account receivable eg collaborate auditor tax consultant financial parr tata develop implement strategy cost control yeiieel sisal le col ati c mu creeley iff tala resume cover letter ion sscareers se ae n sa subject line application may also submit resume accounting head vross meat shoppe ochoa e eb name yeeliel b j,"{'Ġcol', 'ree', 'Ġy', 'Ġf', 'Ġtal', 'Ġem', 'Ġt', 'Ġmu', 'Ġc', 'isal', 'Ġqu', 'Ġn', 'Ġw', 'Ġs', 'Ġfour', 'Ġb', 'iel', 'el', 'Ġe', 'ie', 'Ġla', 'Ġa', 'cho', 'r', 'Ġo', 'Ġat', 'Ġu', 'Ġfe', 'are', 'e', 'all', 'Ġz', 'Ġion', 'f', 'Ġj', 'sc', 'ata', 'Ġsa', 'Ġse', 'Ġye', 'ley', 'i', 'op', 'Ġeb', 'Ġyo', 'Ġwe', 'Ġname', 'a', 'Ġif', 'ers', 'Ġle', 'ppe', 'y', 'ly', 'Ġdepart'}",0.9999999,0
ACCOUNTING SUPERVISOR.JPG,"uD AOI-PHIL. INC ee
WE'RE EE oo
= e@ e e ee
‘Finance/Accounting Supervisor
Nn
// Qualifications:
( ¢ Graduate of BS Accountancy, Management Accounting,
Accounting Technology or any related field
e With at least three (3) year experience as Accounting
Staff or related position is an advantage
¢ Good communication skills (oral and written) and with
the desire to work with internal/external customers
e Strong attention to detail and coordination
e Strong Microsoft Office Skills
e Ability to deal in a dynamic work environment
e CPAis definitely an advantage
9 © Send your resume and
TZ application letter to:
1 aoiphil.recruitment@gmail.com
oe = "">
q",ud aoiphil inc ee ee oo e e e ee financeaccounting supervisor nn qualification graduate b accountancy management accounting accounting technology related field e least three 3 year experience accounting staff related position advantage good communication skill oral written desire work internalexternal customer e strong attention detail coordination e strong microsoft office skill e ability deal dynamic work environment e cpais definitely advantage nine send resume tz application letter one aoiphilrecruitmentgmailcom oe q,"{'Ġa', 'o', 'il', 'Ġq', 'Ġone', 'Ġn', 'Ġo', 'com', 'Ġu', 'd', 'e', 'Ġletter', 'z', 'Ġt', 'Ġe', 'iph', 'Ġinc', 'n'}",0.99999964,1
ACCOUNTS SPECIALIST.docx,"Accounts Specialist
Office Location : 146 T. Calo Extension, Brgy. Limaha, Butuan City
- Resume with 2x2 photo
- Application Letter
- Male
- With Motorcycle and Drivers License
",account specialist office location one hundred fortysix calo extension brgy limaha butuan city resume 2x2 photo application letter male motorcycle driver license,"{'Ġhundred', 'Ġspecialist', 'Ġapplication', 'Ġmale', 'Ġcal', 'Ġdriver', 'Ġmotorcycle', 'Ġbr', 'o', 'Ġlicense', 'Ġphoto', '2', 'six', 'Ġextension', 'x', 'Ġoffice', 'Ġaccount', 'Ġresume', 'Ġ2', 'Ġletter', 'Ġbut', 'Ġone', 'aha', 'Ġlocation', 'Ġcity', 'gy', 'Ġforty', 'Ġlim', 'uan'}",0.99999964,2
ADMIN ASSISTANT.docx,"Admin Assistant
QUALIFICATIONS:
Graduate of any four (4) year or any Management, Business related course
With at least one (1) year related work experience.
Proficient in MS Office.
Excellent written and verbal communication skills
Amenable to work in Pasay City.
",admin assistant qualification graduate four 4 year management business related course least one 1 year related work experience proficient m office excellent written verbal communication skill amenable work pasay city,set(),1.0000004,3
ADMIN ASSOCIATE.docx,"Sales and Marketing Admin Associate

As a Sales and Marketing Admin Assistant, you will be responsible for offering remote administrative support to the client. You will also be responsible for performing administrative tasks as and when required.


Some of the things we expect you to do are to:


Manage our client’s social media presence, creating engaging content, scheduling posts, and fostering active online communities that promote our real estate listings.
Monitor and respond to inquiries and comments on social media platforms, providing timely and helpful information to potential clients.
Prepare and maintain accurate sales contracts, proposals, and other essential sales documentation.
Maintain up-to-date and organized client records within our client’s CRM system.
Assist in creating compelling property listings, including writing detailed descriptions, gathering high-quality photographs, and ensuring accuracy.
Coordinate property showings, open houses, and other events to showcase listings effectively.
Collaborate with the marketing team to develop and execute marketing campaigns, including email newsletters, print advertising, and online promotions.
Track the success of marketing initiatives through analytics, providing insights to support future campaigns.
Coordinate the sales process from contract to settlement, ensuring a smooth and efficient experience for buyers and sellers.
Liaise with agents, brokers, and legal teams to prepare closing documents and finalize transactions.
Prepare and submit all necessary settlement documentation, ensuring compliance with relevant regulations and company guidelines.
Generate regular sales and marketing reports, analyzing key metrics to track performance and identify areas for improvement.


We would need you to be or have the following:


Experienced with Box+Dice, AgentBox, and RealHub
1-2 years experience in social media management and an administrative role.
Proficiency in database management, CRM systems, and Google Workspace.
Familiar with Google Suite
Background in Real Estate preferred, with a strong understanding of the VIC, AU Real Estate
Excellent organisational, communication, and problem-solving abilities.
High level of initiative, technological affinity, and ability to adapt to various tasks.
Skilled in project management.





",sale marketing admin associate sale marketing admin assistant responsible offering remote administrative support client also responsible performing administrative task required thing expect manage client social medium presence creating engaging content scheduling post fostering active online community promote real estate listing monitor respond inquiry comment social medium platform providing timely helpful information potential client prepare maintain accurate sale contract proposal essential sale documentation maintain uptodate organized client record within client crm system assist creating compelling property listing including writing detailed description gathering highquality photograph ensuring accuracy coordinate property showing open house event showcase listing effectively collaborate marketing team develop execute marketing campaign including email newsletter print advertising online promotion track success marketing initiative analytics providing insight support future campaign coordinate sale process contract settlement ensuring smooth efficient experience buyer seller liaise agent broker legal team prepare closing document finalize transaction prepare submit necessary settlement documentation ensuring compliance relevant regulation company guideline generate regular sale marketing report analyzing key metric track performance identify area improvement would need following experienced boxdice agentbox realhub 12 year experience social medium management administrative role proficiency database management crm system google workspace familiar google suite background real estate preferred strong understanding vic au real estate excellent organisational communication problemsolving ability high level initiative technological affinity ability adapt various task skilled project management,set(),1.0000006,153
ADMIN CLERK.docx,"Admin clerk
– With/o educational attainment is okay 
– With pleasing personaliy
– With good attitude
– Any kind of gender is okay
– Have positive mindset
",admin clerk witho educational attainment okay pleasing personaliy good attitude kind gender okay positive mindset,"{'o', 'Ġgood', 'Ġmindset', 'Ġadmin', 'Ġokay', 'Ġeducational', 'Ġpersonal', 'Ġwith', 'Ġgender', 'Ġpositive', 'iy', 'Ġkind', 'Ġpleasing', 'Ġattitude', 'Ġclerk', 'Ġattainment'}",1.0000002,5
AMAZON LISTING SPECIALIST.docx,"Amazon Listing Specialist

Core qualifications:
3-5 years of experience with Amazon Seller Central. 
Expertise in tools such as Helium 10, Jungle Scout, or similar. 
Flat-file expertise for bulk listing uploads and updates. 
Strong ability to analyze metrics and optimize listings based on data. 
Proficiency in creating engaging and accurate product titles, descriptions, and bullet points. 
Proven experience with basic image editing, including resizing, cropping, and touch-ups, using tools like Canva or similar. 
Excellent written and verbal English communication skills.


Advantageous

Visual design experience, including proficiency in tools like Adobe Photoshop, Illustrator, or Canva. 
Experience with other eCommerce platforms like eBay, Walmart, Shopify 
Experience in handling chemicals/hazardous products 
Experience with non-English marketplaces. 
",amazon listing specialist core qualification 35 year experience amazon seller central expertise tool helium 10 jungle scout similar flatfile expertise bulk listing uploads update strong ability analyze metric optimize listing based data proficiency creating engaging accurate product title description bullet point proven experience basic image editing including resizing cropping touchups using tool like canva similar excellent written verbal english communication skill advantageous visual design experience including proficiency tool like adobe photoshop illustrator canva experience ecommerce platform like ebay walmart shopify experience handling chemicalshazardous product experience nonenglish marketplace,set(),1.0000004,3
AREA SUPERVISOR.docx,"AREA SUPERVISOR
AREA OF DEPLOYMENT: JENTEC BUTUAN CITY
JOB QUALIFICATIONS:
• MUST BE 4 YEAR COURSE GRADUATE
• HARD WORKING
• WILLING TO RENDER OVERTIME
• CAN HANDLE AT LEAST 50 PERSONNEL OR ABOVE. 
",area supervisor area deployment jentec butuan city job qualification must four year course graduate hard working willing render overtime handle least fifty personnel,"{'Ġarea', 'ec', 'ent', 'Ġj', 'uan', 'Ġbut'}",1.0000002,7
AREA SUPERVISOR.jpg,"> = —
BE PART OF
=
OUR [EAM
om J — Sav are m = A
Ye x & ,
WIRING | SMS) =
HIF eH | I \ . ae
a hee> wa»
SE
QUALIFICATIONS:
= 0) 5 TERES TED
/ Must be a 4 year graduate FOR INTERESTED
eas Veer Vik
v Hardworking SUBMIT YOUR CV:
/ Willing to render overtime riosatur.hrsmsicdo@gmail.com
g YOU MAY CONTACT:
/ Can Handle 50 personnel above 0930-599-5639
GENERAL REQUIREMENTS;
/¥ Government Benefits Number
AREA OF DEPLOYMENT: / NBI & Barangay Clearance
Vv 2x2 Picture 2 Pcs
Vv Updated Resume
BUTUAN CITY v 2 Long Folder
¥ Ball Pen
a Gen z,tason in carer Kveaen EP ismsicdo2o02 G5, (088) 857-2265",part eam om j sav ye x wiring sm hif eh ae hee wa se qualification 0 five teres ted must four year graduate interested ea veer vik v hardworking submit cv willing render overtime riosaturhrsmsicdogmailcom g may contact handle fifty personnel 09305995639 general requirement government benefit number area deployment nbi barangay clearance vv 2x2 picture two pc vv updated resume butuan city v two long folder ball pen gen ztason carer kveaen ep ismsicdo2o02 g5 088 8572265,"{'57', 'Ġcare', 'dog', 'atur', 'ms', '56', 've', 'Ġte', '39', 'ason', 'Ġrender', 'r', '65', 'Ġz', 'er', 'Ġh', 'h', 'Ġpc', 'Ġupdated', 'do', 'Ġtwo', 'Ġhe', 'Ġom', 'Ġfolder', 'mail', 'o', 'Ġsav', '2', 'Ġep', 't', 'x', 'ik', 'Ġinterested', 'e', 'Ġ2', 'Ġgraduate', 'Ġpen', 'Ġg', 'v', 'Ġ0', '99', 'Ġsubmit', 'Ġpart', 'uan', 'Ġovertime', 'Ġsm', 'Ġk', '88', 'Ġpicture', 'Ġve', 'Ġlong', 'Ġfour', '22', 'Ġe', 'Ġ09', 'Ġa', 'en', 'Ġwa', 'am', 'Ġwilling', 'Ġj', '305', 'Ġbut', 'Ġr', 'Ġmust', 'Ġyear', '5', 'Ġv', 'rs', 'Ġis', 'Ġeh', 'Ġwiring', 'Ġfive', 'res', 'Ġc', 'Ġx', 'Ġball', 'Ġn', 'com', 'Ġ8', 'ic', 'if', 'Ġgen', 'Ġhandle', 'Ġqualification', '02', 'Ġye', 'Ġse', 'Ġmay', 'Ġted', 'a', 'Ġcity', 'bi', 'Ġcontact'}",0.99999946,8
AU LEGAL ADMIN ASSISTANT.docx,"AU Legal Admin Assistant - Work-from-home
Minimum Experience:
You must have 2 years minimum work experience in a legal firm
Other Qualifications:
Prior experience in an Australian firm is a plus but not required
Proficient in Microsoft Office
Excellent verbal and written communication skills
Great multitasking and time management skills
Outstanding research skills
Detail-oriented and highly organised
Performs well under pressure
System Requirements:
Stable internet connection (at least 80 MBPS)",au legal admin assistant workfromhome minimum experience must two year minimum work experience legal firm qualification prior experience australian firm plus required proficient microsoft office excellent verbal written communication skill great multitasking time management skill outstanding research skill detailoriented highly organised performs well pressure system requirement stable internet connection least eighty mbps,set(),1.0000006,153
