job_title,preprocessed_text
ACCOUNTING HEAD,"depart eop o u wely yo fe z y em four w zi e f la fy c quallifications requirement bachelor degree accounting finance related field minimum five year experience accounting least one year leadership role strong knowledge financial regulation taxation compliance proficiency accounting software eg quickbooks sap m excel excellent analytical problemsolving decisionmaking skill strong leadership communication organizational ability vy responsibility oversee manage accounting function including financial reporting budgeting forecasting prepare analyze financial statement guide business cct el ato e implement internal control safeguard company asset financial data supervise mentor accounting staff fostering high performing team manage cash flow account payable account receivable eg collaborate auditor tax consultant financial parr tata develop implement strategy cost control yeiieel sisal le col ati c mu creeley iff tala resume cover letter ion sscareers se ae n sa subject line application may also submit resume accounting head vross meat shoppe ochoa e eb name yeeliel b j Accounting Head Job Description

Job Summary
We are seeking an experienced and strategic Accounting Head to lead our accounting team. The ideal candidate will be responsible for overseeing the financial operations, ensuring compliance with accounting policies and regulations, and providing financial insights to support business decisions.

Key Responsibilities
Financial Leadership
Develop and implement financial strategies to drive business growth
Oversee financial planning, budgeting, and forecasting
Financial Operations
Manage and supervise a team of accountants and accounting staff
Ensure accurate and timely financial reporting, including financial statements and regulatory filings Compliance and Risk Management
Ensure compliance with financial regulations, laws, and accounting standards
Identify and mitigate potential financial risks
Financial Analysis and Insights
Provide financial analysis and insights to support business decisions
Develop and maintain financial models and forecasts
Process Improvement
Identify areas for process improvement and implement changes to increase efficiency and effectiveness Skills and Qualifications
Education: Bachelor's degree in Accounting or related field; Master's degree preferred
Experience: 5+ years of experience in accounting, with a minimum of 2 years in a leadership role
Technical Skills:
Proficient in accounting software, including QuickBooks or similar systems
Strong knowledge of financial principles and regulations
Soft Skills:
Excellent leadership and communication skills
Strong analytical and problem-solving skills
Ability to work accurately and efficiently in a fast-paced environment Leadership Qualities
Strategic Thinker: Ability to develop and implement financial strategies to drive business growth
Collaborator: Ability to work effectively with cross-functional teams to achieve business objectives
Innovator: Ability to identify areas for process improvement and implement changes to increase efficiency and effectiveness"
ACCOUNTING SUPERVISOR,"ud aoiphil inc ee ee oo e e e ee financeaccounting supervisor nn qualification graduate b accountancy management accounting accounting technology related field e least three 3 year experience accounting staff related position advantage good communication skill oral written desire work internalexternal customer e strong attention detail coordination e strong microsoft office skill e ability deal dynamic work environment e cpais definitely advantage nine send resume tz application letter one aoiphilrecruitmentgmailcom oe q Job Summary
We are seeking an experienced and detail-oriented Accounting Supervisor to oversee the day-to-day accounting operations. The ideal candidate will be responsible for managing a team of accountants, ensuring accurate financial reporting, and providing guidance and support to team members.
Key Responsibilities
Team Management
Supervise and manage a team of accountants and accounting staff
Provide guidance and support to team members to ensure accurate and timely financial reporting
Financial Operations
Oversee financial transactions, including accounts payable, accounts receivable, and general ledger
Ensure compliance with accounting policies and procedures
Financial Reporting
Prepare and review financial reports, including balance sheets and income statements
Ensure accurate and timely financial reporting to management and stakeholders
Training and Development
Provide training and guidance to team members on accounting procedures and policies
Identify areas for process improvement and implement changes to increase efficiency and effectiveness
Compliance and Risk Management
Ensure compliance with financial regulations, laws, and accounting standards
Identify and mitigate potential financial risks
Skills and Qualifications
Education: Bachelor's degree in Accounting or related field
Experience: 3+ years of experience in accounting, with a minimum of 1 year in a supervisory role
Technical Skills:
Proficient in accounting software, including QuickBooks or similar systems
Strong knowledge of financial principles and regulations
Soft Skills:
Excellent leadership and communication skills
Strong analytical and problem-solving skills
Ability to work accurately and efficiently in a fast-paced environment
Leadership Qualities
Organizer: Ability to prioritize tasks and manage multiple projects simultaneously
Problem-Solver: Ability to identify and resolve accounting issues and discrepancies
Collaborator: Ability to work effectively with cross-functional teams to achieve business objectives
"
ACCOUNTS SPECIALIST,"account specialist office location one hundred fortysix calo extension brgy limaha butuan city resume 2x2 photo application letter male motorcycle driver license Technical Skills:
Proficient in accounting software, including QuickBooks or similar systems
Strong knowledge of financial principles and regulations
Soft Skills:
Excellent communication and customer service skills
Strong analytical and problem-solving skills
Ability to work accurately and efficiently in a fast-paced environment Education: Bachelor's degree in Accounting or related field
Experience: 2+ years of experience in accounting or finance Reporting and Analysis
Prepare and analyze financial reports, including balance sheets and income statements
Identify and report any discrepancies or anomalies in financial records
Compliance and Risk Management
Ensure compliance with financial regulations and laws
Identify and mitigate potential financial risks We are seeking an experienced Accounts Specialist to join our team. The ideal candidate will be responsible for managing and maintaining accurate financial records, processing transactions, and providing exceptional customer service to internal stakeholders. Financial Record Management
Maintain accurate and up-to-date financial records, including accounts payable, accounts receivable, and general ledger
Ensure compliance with accounting policies and procedures
Transaction Processing
Process invoices, payments, and other financial transactions in a timely and efficient manner
Verify accuracy and completeness of financial documents"
AREA SUPERVISOR,"area supervisor area deployment jentec butuan city job qualification must four year course graduate hard working willing render overtime handle least fifty personnel part eam om j sav ye x wiring sm hif eh ae hee wa se qualification 0 five teres ted must four year graduate interested ea veer vik v hardworking submit cv willing render overtime riosaturhrsmsicdogmailcom g may contact handle fifty personnel 09305995639 general requirement government benefit number area deployment nbi barangay clearance vv 2x2 picture two pc vv updated resume butuan city v two long folder ball pen gen ztason carer kveaen ep ismsicdo2o02 g5 088 8572265 Job Summary
We are seeking an experienced and results-driven Area Supervisor to oversee a team of accountants and accounting staff in a specific geographic area. The ideal candidate will be responsible for managing day-to-day operations, ensuring accurate financial reporting, and providing guidance and support to team members.

Key Responsibilities
Team Management
Supervise and manage a team of accountants and accounting staff in a specific geographic area
Provide guidance and support to team members to ensure accurate and timely financial reporting
Financial Operations
Oversee financial transactions, including accounts payable, accounts receivable, and general ledger
Ensure compliance with accounting policies and procedures
Financial Reporting
Prepare and review financial reports, including balance sheets and income statements
Ensure accurate and timely financial reporting to management and stakeholders
Training and Development
Provide training and guidance to team members on accounting procedures and policies
Identify areas for process improvement and implement changes to increase efficiency and effectiveness
Compliance and Risk Management
Ensure compliance with financial regulations, laws, and accounting standards
Identify and mitigate potential financial risks
Skills and Qualifications
Education: Bachelor's degree in Accounting or related field
Experience: 4+ years of experience in accounting, with a minimum of 2 years in a supervisory role
Technical Skills:
Proficient in accounting software, including QuickBooks or similar systems
Strong knowledge of financial principles and regulations
Soft Skills:
Excellent leadership and communication skills
Strong analytical and problem-solving skills
Ability to work accurately and efficiently in a fast-paced environment
Leadership Qualities
Strategic Thinker: Ability to develop and implement financial strategies to drive business growth
Collaborator: Ability to work effectively with cross-functional teams to achieve business objectives
Innovator: Ability to identify areas for process improvement and implement changes to increase efficiency and effectiveness"
BAKER,"urgent hiring e highschool graduate related course isaplus required e willing trained know basic foodhandling e work independently e multitasking willing trained email u newleafagchrgmailcom walkin applicant submit resume 2nd floor dupoint building cruztaal velez st cdoc honda technomart We are seeking a skilled and experienced Baker to join our team. The ideal candidate will be responsible for preparing and baking a variety of breads, pastries, and other sweet and savory treats.

Key Responsibilities
Baking and Preparation
Prepare and bake breads, pastries, and other sweet and savory treats
Follow recipes and instructions to ensure high-quality products
Quality Control
Inspect and test baked goods to ensure quality and freshness
Identify and correct any defects or issues
Inventory Management
Manage inventory of ingredients and supplies
Order and receive inventory as needed
Sanitation and Safety
Maintain a clean and safe work environment
Follow proper food safety and sanitation procedures
Customer Service
Provide excellent customer service to customers and colleagues
Answer questions and provide information about products and services
Skills and Qualifications
Education: High school diploma or equivalent; formal training in baking or culinary arts preferred
Experience: 1+ year of experience in a bakery or related field
Technical Skills:
Ability to operate bakery equipment, including mixers, ovens, and proofers
Knowledge of baking techniques and ingredients
Soft Skills:
Excellent attention to detail and quality control skills
Ability to work accurately and efficiently in a fast-paced environment
Strong communication and customer service skills
Physical Demands
Standing and walking for extended periods
Lifting and carrying heavy objects (up to 50 pounds)
Bending and stooping to reach and retrieve items
Working in a hot and humid environment"
BARISTA,"mat au hihi ay seven c four oy z lo cj hiring la starbucks robinson place malolos p ground floor robinson place mac arthur highway malolos four bulacan ca s mel aihiela em man eaten am lo p four seanonal barista four l v full time position candidate must possess least bachelorscollege degree bill el peeeig uo pe aieerr cri rancho eneei tt ereecenet comedic nae en n tal ladle mba lae mmt h mem ae aete rem l ul ai tele required q uec ee lelcmcenteteo twelve kindly send updated resume photo cc starbucksmalolosgmailcom oj l five qprhaf c loe d s hi kitchen staff barista delivery rider must twenty year old willing work full time job willing trained fast learner good communication skill computer literacy advantage driver license advantage e friendly personality apply send resume gmail bring resume personally baofeicafegmailcom tagoloan branch Job Summary
We are seeking a skilled and enthusiastic Barista to join our team. The ideal candidate will be responsible for preparing and serving high-quality coffee drinks, as well as providing excellent customer service.

Key Responsibilities
Coffee Preparation
Prepare and serve a variety of coffee drinks, including espresso, cappuccino, and latte
Follow recipes and instructions to ensure high-quality products
Customer Service
Provide excellent customer service to customers and colleagues
Answer questions and provide information about products and services
Cash Handling
Handle cash and credit transactions accurately and efficiently
Maintain a clean and organized workspace
Sanitation and Safety
Maintain a clean and safe work environment
Follow proper food safety and sanitation procedures
Inventory Management
Manage inventory of coffee beans, syrups, and other supplies
Order and receive inventory as needed
Skills and Qualifications
Education: High school diploma or equivalent; formal training in coffee preparation or culinary arts preferred
Experience: 1+ year of experience as a Barista or in a related field
Technical Skills:
Ability to operate espresso machines, grinders, and other coffee equipment
Knowledge of coffee roasting and brewing techniques
Soft Skills:
Excellent communication and customer service skills
Ability to work accurately and efficiently in a fast-paced environment
Strong problem-solving and multitasking skills
Physical Demands
Standing and walking for extended periods
Lifting and carrying heavy objects (up to 25 pounds)
Bending and stooping to reach and retrieve items
Working in a fast-paced and dynamic environment"
BRANCH SECRETARY,"branch secretary qualification willing work iligan city must female twentyfive year old willing trained start asap willing transferred different location send resume hragshydraulicgmailcom Job Summary
We are seeking a highly organized and detail-oriented Branch Secretary to support the day-to-day operations of our office. The ideal candidate will be responsible for providing administrative support, managing correspondence, and maintaining accurate records.

Key Responsibilities
Administrative Support
Provide administrative support to branch staff, including answering phone calls, responding to emails, and preparing correspondence
Maintain a high level of organization and attention to detail in all aspects of work
Correspondence Management
Manage and maintain accurate records of correspondence, including letters, emails, and faxes
Ensure timely and efficient processing of correspondence
Record Keeping
Maintain accurate and up-to-date records of branch activities, including meetings, events, and transactions
Ensure compliance with regulatory requirements and company policies
Communication
Communicate effectively with branch staff, management, and external stakeholders
Maintain confidentiality and discretion when handling sensitive information
Data Entry
Enter data into computer systems accurately and efficiently
Maintain accurate and up-to-date records of branch data
Skills and Qualifications
Education: High school diploma or equivalent; formal training in administration or secretarial arts preferred
Experience: 1+ year of experience in an administrative or secretarial role
Technical Skills:
Proficient in Microsoft Office, including Word, Excel, and Outlook
Strong knowledge of record-keeping and data management principles
Soft Skills:
Excellent communication and interpersonal skills
Ability to work accurately and efficiently in a fast-paced environment
Strong problem-solving and organizational skills
Physical Demands
Sitting and standing for extended periods
Typing and data entry for extended periods
Limited lifting and carrying of light objects (up to 10 pounds)"
CALL CENTER AGENT,"call center agent job requirement shs graduate high school graduate old curriculum work experience required open career shifter excellent written verbal communication skill willing start immediately work home set home internet speed least fifty mbps must residing pangasinan Job Summary
We are seeking a highly skilled and customer-focused Call Center Agent to join our team. The ideal candidate will be responsible for providing exceptional customer service to clients, resolving issues, and meeting sales targets.

Key Responsibilities
Customer Service
Answer and respond to customer calls, emails, and chats in a timely and professional manner
Provide accurate and helpful information to customers, resolving their issues and concerns
Sales and Upselling
Meet and exceed sales targets by identifying opportunities to upsell and cross-sell products and services
Build relationships with customers to increase loyalty and retention
Issue Resolution
Investigate and resolve customer complaints and issues in a fair and timely manner
Escalate complex issues to supervisors or managers as necessary
Data Entry and Record Keeping
Enter customer information and transactions into computer systems accurately and efficiently
Maintain accurate and up-to-date records of customer interactions and issues
Team Collaboration
Collaborate with team members to achieve sales targets and resolve customer issues
Participate in training and development programs to improve skills and knowledge
Skills and Qualifications
Education: High school diploma or equivalent; formal training in customer service or sales preferred
Experience: 1+ year of experience in a call center or customer service role
Technical Skills:
Proficient in customer relationship management (CRM) software and other technology tools
Strong knowledge of sales and customer service principles
Soft Skills:
Excellent communication and interpersonal skills
Ability to work accurately and efficiently in a fast-paced environment
Strong problem-solving and conflict resolution skills
Physical Demands
Sitting and standing for extended periods
Talking and listening for extended periods
Limited lifting and carrying of light objects (up to 10 pounds)"
CASHIER,"cashierserver college level high school graduate experienced one year experienced 2040 year old urgent hiring eat least ahigh school graduate ewith without experience incashiering training willbe provided e honest trustworthy comfortable handling cash transaction ableto multitask andwork efficiently ina fastpaced environment ewillingto learn grow within team email u newleafagchrgmailcom walkin applicant submit resume 2nd floor dupoint building cruztaal velez st cdoc honda technomart wa e use ouse c urgent hirings high school graduate strongcommunication customer service skill e basic math cash handling skill e friendly reliable able handle stressful situation calmly e agipesos per day seven fa work location poblacion 1villanueva misamisoried na f requirement resume 2x2 recent photo seven wy seven pf police clearance brgy clearance e submit roni warehouse corporatig ee al al misamisori sus Job Summary
We are seeking a friendly and efficient Cashier to join our team. The ideal candidate will be responsible for handling customer transactions, operating a cash register, and maintaining a clean and organized workspace.

Key Responsibilities
Customer Service
Provide excellent customer service to customers, answering questions and resolving issues
Maintain a positive and friendly demeanor in a fast-paced environment
Cash Handling
Operate a cash register accurately and efficiently, handling cash, credit card transactions, and other forms of payment
Count and balance cash at the end of each shift
Inventory Management
Maintain accurate inventory levels of merchandise and supplies
Report any discrepancies or issues to management
Sanitation and Safety
Maintain a clean and safe work environment, adhering to company policies and procedures
Follow proper food safety and sanitation procedures
Team Collaboration
Collaborate with team members to achieve sales targets and maintain a positive work environment
Skills and Qualifications
Education: High school diploma or equivalent
Experience: 1+ year of experience in a retail or customer service role
Technical Skills:
Proficient in operating a cash register and handling cash transactions
Strong knowledge of retail policies and procedures
Soft Skills:
Excellent communication and interpersonal skills
Ability to work accurately and efficiently in a fast-paced environment
Strong problem-solving and conflict resolution skills
Physical Demands
Standing and walking for extended periods
Lifting and carrying of light objects (up to 25 pounds)
Bending and stooping to reach and retrieve items reliever cashier cash handling experience excellent customer service excel proficiency flexible availability reliability teamwork skill note willingness work la nieves bayanihan cabadbaran santiago ampayon nasipit"
CHAT SUPPORT AGENT,"chat support agent dayshift pioneer key accountability np customer service 40 review regularly customer service feedback act opportunity improvement ensure continuous focus achieving exceeding customer advocacy target interaction customer apply customer service best practice principle appropriately achieving exceptional customer service result provide option member proactively identifying opportunity promote health cover option service product ensure quality result reviewed identify pattern act identified area development record skilling gap appropriately performance developmentaction plan allowing coaching support provided area operational effectiveness 20 actively engage participate contribute team collaborative based program project activity incentive improvement initiative deliver continuous improvement achieving performance excellence operational efficiency area work ensure keep date relevant business information news ensure understand overall business objective program work awareness risk compliance obligation completion assigned compliance training module policy guideline legal framework required role customer opportunity 30 proactively identify opportunity trigger undertake effective cover review order add value interaction retain member use effective question undertake need based analysis approach uncover current future need recommend appropriate cover change addition member availability 10 adherence roster take break time return promptly adherence shift start time turn time correct shift check schedule regularly aware change roster well advance ensure using correct soft phone state duration shift use allocated phone time efficiently ifwhen required effectively resolve member query Job Summary
We are seeking a highly skilled and customer-focused Chat Support Agent to join our team. The ideal candidate will be responsible for providing exceptional customer service to clients through live chat, email, and phone support.

Key Responsibilities
Customer Service
Respond to customer inquiries and resolve issues in a timely and professional manner
Provide accurate and helpful information to customers, resolving their concerns and issues
Chat Support
Provide live chat support to customers, responding to their questions and concerns in a timely and professional manner
Use chat software to track and manage customer interactions
Email Support
Respond to customer emails and resolve issues in a timely and professional manner
Use email software to track and manage customer interactions
Phone Support
Respond to customer phone calls and resolve issues in a timely and professional manner
Use phone software to track and manage customer interactions
Data Entry and Record Keeping
Enter customer information and transactions into computer systems accurately and efficiently
Maintain accurate and up-to-date records of customer interactions and issues
Skills and Qualifications
Education: High school diploma or equivalent; formal training in customer service or technical support preferred
Experience: 1+ year of experience in a customer service or technical support role
Technical Skills:
Proficient in chat software, email software, and phone software
Strong knowledge of customer service principles and technical support procedures
Soft Skills:
Excellent communication and interpersonal skills
Ability to work accurately and efficiently in a fast-paced environment
Strong problem-solving and conflict resolution skills"
