predicted_job_title,best_match_score
HR STAFF,0.74806654
VERIFICATION SPECIALIST,1.0000004
WAREHOUSE SECRETARY,0.5264372
SALES SUPERVISOR,0.90721965
LAUNDRY ATTENDANT,0.54138565
TELESALES REPRESENTATIVE,0.86100084
OFFICE STAFF,0.9535097
COMPLIANCE OFFICE,0.8186636
SALES REPRESENTATIVE,0.88718367
OFFICE STAFF,0.950623
SPANISH BILINGUAL,0.9555793
OFFICE STAFF,0.95623404
ACCOUNTING HEAD,0.9409391
TRADE MARKETING OFFICER,0.9154292
HR RECRUITER,0.94559366
SPANISH BILINGUAL,0.9557693
OFFICE STAFF,0.9520591
OFFICE STAFF,0.930874
VIETNAMESE BILINGUAL,0.95350295
ACCOUNTING HEAD,0.95572037
OFFICE STAFF,0.91004425
BARISTA,0.9497773
PRODUCTION HELPER,0.9346848
OFFICE STAFF,0.9410186
ACCOUNTING HEAD,0.9520676
HR RECRUITER,0.9390538
TRADE MARKETING OFFICER,0.92563176
MANAGEMENT TRAINEE,0.71688217
VERIFICATION SPECIALIST,1.0000004
TRADE MARKETING OFFICER,0.932186
VERIFICATION SPECIALIST,1.0000004
TRUCK HELPER,0.532559
HR RECRUITER,0.94127315
OFFICE STAFF,0.94937897
VIETNAMESE BILINGUAL,0.9437337
EXTRUCT SALESMAN,0.93748266
BAKER,0.9022495
OFFICE STAFF,0.9513062
AREA SUPERVISOR,0.9313154
PRODUCTION HELPER,0.9389528
SERVICE CREW,0.9426195
PRODUCTION HELPER,0.904073
AREA SUPERVISOR,0.9351542
VERIFICATION SPECIALIST,1.0000004
SALESMAN,0.7349102
PRODUCTION HELPER,0.9435293
OFFICE STAFF,0.8901907
LAUNDRY ATTENDANT,0.5609566
AREA SUPERVISOR,0.95200276
TELESALES REPRESENTATIVE,0.79381096
PRODUCTION HELPER,0.9213944
JAPANESE BILIGUAL,0.9525331
PRODUCTION HELPER,0.95488906
UTILIFT STAFF,0.9612319
HR COORDINATOR,0.94926846
FABRICATOR,0.92853224
SALESMAN,0.9367189
PASSENGER SERVICE AGENT,0.8811697
PASSENGER SERVICE AGENT,0.89893574
OFFICE STAFF,0.9551463
CLAIMS-IN-CHARGE,0.94754934
PRODUCTION HELPER,0.88726556
TRADE MARKETING OFFICER,0.9490921
FIELD STAFF,0.43454456
BARISTA,0.945664
SALES REPRENSETATIVE,0.7283986
AREA SUPERVISOR,0.94402003
SECURITY GUARD,0.8499515
PRODUCTION HELPER,0.95624024
FIELD SALES SUPERVISOR,0.850314
OFFICE STAFF,0.9339568
PRODUCTION HELPER,0.9337397
PRODUCTION HELPER,0.93049705
OFFICE STAFF,0.944035
VERIFICATION SPECIALIST,1.0000004
PART-TIME-BARISTA,0.95764995
